day_pk,day_sk,title,symbol,description_0,description_1
1,1,-,"«третий глаз», светильник","#MAIN
1-й Лунный день может быть очень коротким, всего несколько минут. Чем меньше по своей продолжитель­ности 1-й Лунный день, тем больше мы получаем энергии и тем интенсивнее протекают процессы во время него. Период наступления первого дня начинается с начала наступления новолуния. Этот день оказывает огромное влияние, на  весь Лунный месяц, на то как мы проведем все это время. От него зависит успех всех наших дел, на целый месяц. Это время как чистый лист в книге нашей жизни, и чтобы его не пропустить поставьте на своем мобильном телефоне будильник, на дату начала новолуния и не забудьте что новолуние начинается в каждом городе по разному, на это влияет часовой пояс. В этом Вам поможет наш Лунный календарь онлайн. Отбросьте в первый Лунный день все дела и суетные мысли. Сосредоточитесь на своих планах предстоящего месяца, а возможно и глобальных планах и переменах, которые изменят всю Вашу жизнь.  Мысленные формы и образы созданные сегодня будут обладать особой силой, они будут способны материализоваться в реальном мире через наши действия и поступки, как будто не виданная сила движет ими, и не что не может остановить или воспрепятствовать им. Для более детального и четкого осмысления своих планов воспользуйтесь листком бумаги, на котором  изложите свои планы, не упустите не одной детали, старайтесь все излагать не расплывчато, а четко и ясно. Чем подробнее вы все напишете и визуализируете у себя в голове, тем большую энергетическую поддержку вы получите от вселенной. Чем сложнее ваши запросы, тем больше времени они потребуют для материализации. Визуализируйте свое желание в 1-й Лунный день каждое новолуние из месяца в месяц, и результат не заставит себя долго ждать, оно обязательно сбудется в нужном месте и в нужное время. В первый Лунный день не рекомендуется заниматься какой то групповой работой. Хорошо было бы вернуться к своему началу, повспоминать детство поразмыслить о своих поступках, проанализировать прожитую жизнь. Можно также уделить время чтению исторической литературы. Можно сказать, что это день творческих начинаний. За новые дела лучше не браться, а ограничится только планами и мечтаниями. 1-й Лунный день — это магический и необычный день. Символ лампада, обозначает образ вечного света и глубокую духовную связь с тонким миром. Если Вы направите свои действия на развитие и духовное очищения, то это принесет Вам огромную пользу. Например, если подумать о прошлом и простить своих обидчиков, или самому попросить прощение (пусть даже мысленно), это поспособствует улучшению вашей кармы, и разрыву препятствующих нитей, которые мешают Вам двигаться вперед. Этот Лунный день  хорошо провести за наблюдением огня. Если имеется возможность, зажгите свечи.  Сконцентрируйтесь на чем то хорошем, почувствуйте ощущение любви и покоя. Этот день очень благоприятен для хороших и добрых начинаний, особенно если они возвышают ваш дух и совершенствуют личность.
#RELATION
В 1-й Лунный день будет лучше  уединится, а  личную жизнь рекомендуется лишь планировать. Если у вас назначено свидание со своим избранником или избранницей, то проведите его в уединение, например в тихом миленьком кафе, а главное откажитесь от шумных и людных мест.
#HOME
Отлично подходит для мелких домашних дел. Стирку и уборку будет лучше перенести на другой день. День хорошо подходит для творчества и всего что с ним связано: вышивка, вязание, рисование, занятие любимым хобби.
#HEALTH
С точки зрения медицины, в 1-й Лунный день, особо уязвимы  лицевая часть головы и головной мозг, поэтому не нужно злоупотреблять алкоголем или же острой или горячей пищей, да и вообще переутомляться. Физиологически, происходит плотное сбивание внутренних органов, иммунитет ослабляется, что  является для человека довольно тяжелым. Не рекомендуется делать разного рода косметические процедуры, особенно это касается пластических операций. Хорошо начать цикл физических упражнений.
#BUSINESS
Не рекомендуется: подписывать важные документы, обменивать валюту, брать и отдавать долги. Лучше всего отложить переговоры и принятие важных решений. Также отрицательно скажется регистрация нового предприятия и открытия нового дела. Мистическое влияние Мысле-формы и образы, созданные в 1-й Лунный день, создают энергетический отпечаток в тонком мире, что способствует к дальнейшей их материализации в материальном мире.","#MAIN
1 лунный день. В этот день хорошо прощать обиды и друзьям, и недругам. Это получится легче, чем в другие дни, и к тому же ускорит осуществление ваших планов."
2,2,-,Рог изобилия,"#MAIN
Второй Лунный день начинается с первого восхода Луны после Новолуния, из-за чего в разных городах, Лунный месяц может сдвигаться вперед или назад на одни Лунные сутки . Это время получения ценной информации. Будьте особо внимательны к информации которую получаете во второй Лунный день, даже если вам кажется что это вам не пригодится, через какое то время может все поменяться и вы оцените полученную в этот день информацию. Второй Лунный день наполнен энергией которая склоняет людей к обладанию и покупке ненужных вещей. Старайтесь не поддаваться этому, и наоборот если вам удастся что нибудь кому-нибудь  подарить, вселенная вернет это сполна. Если вдруг вы в этот день что нибудь потеряли, подумайте хорошо, возможно это вещь вам никогда бы не пригодилась и во все ненужна вам, с легкостью расстаньтесь с ней. Старайтесь во второй Лунный день особо не делится своими планам, иначе их реализация может сойти на нет.  В этот день необходимо развивать в себе щедрость, и не в коем случае нельзя показывать свою злость. Очень хорошо в этот день обратиться с просьбой к начальству, завести новые контакты. Этот день очень благоприятен для разного рода открытий и научных исследований. Запланированный поход на природу или путешествия с отправной точкой второго лунного для, принесут массу положительных эмоций и запомнятся надолго.
#RELATION
Хорошо подходит для свиданий, проявите заботу и щедрость, по отношению к вашей второй половинке и будете сполна вознаграждены радостью и любовью. Этот Лунный день очень хорошо подходит для заключения союзов и браков.
#HOME
Можно заниматься любыми домашними делами. Это время отлично подходит для начало ремонта в квартире и любого строительства.
#HEALTH
Во второй Лунный день следует уделить особое внимание питанию, особенно не стоит употреблять жирную пищу. Прекрасное время для составления курса диеты на весь Лунный цикл, а также для начала оздоровительного курса, очищения организма, курса физических упражнений и тд. Также второй Лунный день будет идеальным для посещения сауны или бани.
#BUSINESS
2-й Лунный день очень благоприятен для индивидуальной и коллективной работы. Можно смело начинать любые дела и проекты. Особо хорошо будет удаваться обучение и повышения квалификации, любые курсы и т.д. Командировки будут плодотворными и принесут материальные доходы. ","#MAIN
2 лунный день. Начинать новые серьезные дела по-прежнему не надо, продолжайте обдумывать свои планы, накапливать силы для их осуществления."
3,3,-,"Барс, Леопард","#MAIN
3-й Лунный день — это время для активных действий. Лучше если Вы встанете по раньше, чтобы можно было сделать как можно больше хороших и полезных дел. Эти Лунные сутки заряжены энергией Марса и очень энергичны — это день война. Пассивные люди в такой день становятся очень уязвимыми, они  становятся мнительными, подозрительными и коварными, так как находятся под угнетением очень активной энергии. Чувствительные люди в 3-й Лунный день могут ощущать напряженность и даже агрессию в воздухе. Проявление пассивности в 3-й Лунный день может плохо сказаться на здоровье.  Энергия должна реализоваться и если этого не произойдет, то она начнет разрушающи действовать на организм изнутри. Третий Лунный день наполнен риском, напором, железной волей для смелых и решительных действий. Этот день нужно провести под лозунгом: «Думать не надо, надо действовать!» Самое опасное что таят в себе третьи Лунные сутки, это возможность многократно усиливать наш страх. Который также многократно будет оказывать разрушающее воздействие на физическое и психическое здоровье. Поэтому если таковой имеет место, говорим страху нет, и всячески откладываем его на другой день, боятся будем потом, но только не сегодня. 3-й Лунный день хорошо подходит для занятий боевыми искусствами, так же он благоприятствует тем кто отправляется в дальнее путешествия или долгую поездку. Энергия Луны будет всячески помогать им на всем пути.
#RELATION
В 3-й Лунный день вас может потянуть на выяснение отношений между собой. В целом день не благоприятствует романтическим настроениям, лучше найти общие интересы и углубится в них.
#HOME
В 3-й Лунный день очень хорошо подходит для начала строительства дома, очень хорошо в этот день капать колодец, делать любые виды ремонта дома. Хорошо также точить ножи, работать с металлом, а в древности в этот день отливали вещи из серебра.
#HEALTH
3-й Лунный день отлично подходит для того чтобы завязать с плохими привычками. Например бросить курить будет намного легче, чем в другие дни. В этот день чувствительны затылок, горло, уши, и категорически противопоказано их лечение. Положительно скажутся физические нагрузки и занятие боевыми искусствами, а также посещения сауны и бани.
#BUSINESS
3-й Лунный день хорошо подходит для рискованных и смелых проектов. Но если ваше решение было принято под действием страха, то скорей всего ничего не получится. В целом во всех делах будет чувствоваться некая напряженность. Рисковые активы принесут прибыль. Финансовые вопросы лучше перенести на другой день.","#MAIN
3 лунный день. Если сих пор мы мечтали и строили планы, то сейчас пора действовать. Пассивность в этот день противопоказана и даже опасна."
4,4,-,Древо познаний,"#MAIN
4-й Лунный день согласно своей энергетике является пассивным днем, лучше не проявлять активную деятельность, а провести этот день спокойно, без лишней суеты. Этот Лунный день лучше посвятить возвышенным мыслям, повышению своей духовности. Он идеально подходит для прогулок по лесу, молитв, медитаций, поминовению предков, чтению книг. Если вы сбились со своего духовного пути, то в этот день вы будете чувствовать себя опустошенным, самое время задуматься об этом, и найти свой путь, энергетика этого лунного дня будет всячески способствовать чтобы вернуть вас обратно в русло, наставить на путь. Откройте свою душу и она направит  вас в нужном направлении. 4-й Лунный день является очень благоприятным для начала обучения, повышения квалификации. Все будет легко удаваться чья деятельность связана с информационными технологиями, связью, телефонией, интернетом. В это время не следует принимать быстрых решений , лучше десять раз обдумать все, а уж потом принимать решение. Не рекомендуется коллективная работа, нельзя рубить деревья . Люди, которые были рождены в 4-й Лунный день, обладают какой-то космической тайной, но при этом они должны сами ее познать. Также считается, что в эти Лунные сутки можно увидеть вещие сны, особенно если во сне приснились умершие родственники.
#RELATION
Этот Лунный день считается не подходящим для романтических свиданий, особенно если вы ждете от него много и возлагаете большие надежды. В 4-й Лунный день большинство людей склонны к апатии из-за чего любой романтический настрой сводится на нет.
#HOME
В 4-й Лунный день будут удаваться любые работы с деревом, неважно что вы с ним будете делать пилить, строгать, выжигать. Не разрешается только рубить деревья. Хорошее время для уборки дома.
#HEALTH
Слабыми органами считаются гортань и шейные позвонки. Легко можно надорвать голос, противопоказаны физические и эмоциональные переутомления. Не рекомендуется употреблять алкоголь.  День хорошо подходит для заготовки целебных настоек, на растительной основе.
#BUSINESS
Все дела связанные с финансами могут идти не очень, не рекомендуется начинать новые дела, а лучше продолжить начатые. Этот Лунный день отлично подходит для работы над ошибками. ","#MAIN
4 лунный день. Не очень благоприятный день. Как помните, Адам и Ева, вкусив от Древа познания, совершили грехопадение. И этот день такой — день грехопадения."
5,5,-,Единорог,"#MAIN
Это судьбоносный день, поэтому если вселенная вам задолжала, то сегодня долг обязательно будет возвращен. Возможно вы получите очень ценную информацию, которая поможет сделать вам судьбоносный поворот, но главное не проморгать ее, следите внимательно за всем, информация может поступить совершенно от неожиданного места, например обрывок газеты или разговор в автобусе.
#RELATION
У ищущих большой шанс встретить свою любовь, поэтому внимательно отнеситесь к сегодняшним знакомствам. В 5-й Лунный день легко влюбится с первого взгляда. Свидания будут наполнены романтическим настроениям.
#HOME
В 5-й Лунный день лучше отложить все бытовые заботы. Не рекомендуется делать ремонт, строить.
#HEALTH
В 5-й Лунный день  уязвим желудок, поэтому серьезна отнеситесь к питанию, не перегружайте желудок, не ешьте тяжелые продукты. Пища сегодня обладает особой энергетикой. Так же негативные эмоции будут плохо влиять на желудочно-кишечный тракт. Не рекомендуется в этот день придерживаться жестких диет, и голодание не принесет положительного эффекта.
#BUSSINES
Не рекомендуется решать финансовые вопросы. Новые дела не принесут никаких результатов, лучше сосредоточится на решении начатых дел. Раздайте все свои долги.","#MAIN
5 лунный день. В этот день все удается, если вы проявляете творческую активность и стремитесь к достижению цели. Прекрасно усваиваются знания."
6,6,-,Птица,"#MAIN
Дух 6-го Лунного дня наполнен чистой первозданной энергией, она дает шанс каждому человеку осознать смысл собственной жизни и даже заглянуть в будущее. Прислушайтесь к своей душе, она точно знает где проходит ваш истинный путь. В этот день возможно духовное пробуждения, спонтанное озарение, усиливаются телепатические способности. Люди обладающие глубоким даром, почувствуют его если прислушаются к своему внутреннему миру. Интуиция сегодня подскажет что истинно, а что есть ложь, доверяйте своему внутреннему чутью. Сны будут вещими, и могут показать предстоящее будущее, но нужно правильно уметь их интерпретировать. 6-й Лунный день лучше провести спокойно, без конфликтов, старайтесь избегать шумных компаний и ненужной суеты, это предаст вам глубокой уверенности в себе и  не позволит напрасно растратить энергию. Посвятите лучше этот день чему то возвышенному. Прогулки и созерцание природы будут иметь лечебный эффект. Люди которые практикуют медитации, легко смогут  достичь более высоких уровней концентрации. В целом этот день очень благоприятен, он позволяет проявлять все свои способности. Возрастает удачливость, появляются новые планы и мысли, которые способны изменить Вашу жизнь к лучшему. В этот день будет хорошо удаваться научная и общественная деятельности. Однако в контактах нужно быть сдержанным, так как излишний напор или же полная бестактность могут уменьшить эффективность Ваших действий.
#RELATION
6-е лунные сутки самое лучшее время для заключения счастливых браков по любви, есть поверья что браки в этот день заключаются на небесах, поэтому могут считаться самыми счастливыми. Очень хороший день для свидания.
#HEALTH
Этот Лунный день очень хорошо подходит для дыхательных упражнений, посещения салонов красоты или косметолога. Любые омолаживающие процедуру принесут хороший результат.  В 6-й Лунный день уязвимы грудные отделы, плечи, легкие, бронхи. Также день неблагоприятен для лечения и удаления зубов.
#HOME
Отличный день для решения бытовых проблем и работы по дому. Все будет с легкостью удаваться, а уборка дома помимо грязи,  очистит и энергетику пространства.
#BUSINESS
Шестой Лунный день очень хорош для подписания новых контрактов, начала нового бизнеса, регистрации предприятия. Все финансовые дела принесут положительный результат. В целом это лучший день для бизнеса во всем лунном календаре. Единственный момент, не стоит сегодня давать деньги в долг, так как считается что вместе с деньгами вы передаете свою денежную удачу.","#MAIN
6 лунный день. День уединения и смирения. Надо спокойно заниматься своими обычными делами, но при этом ни в коем случае не роптать на жизнь, на обстоятельства, на близких."
7,7,-,Роза ветров,"#MAIN
7-й Лунный день называют днем слова. Слова сегодня имеют материальную энергетику, то есть они могут материализоваться в конкретное действие. Все что Вы сегодня произнесете может реализоваться в материальном плане. Необходимо внимательно следить за своей речью, не нужно желать никому зла, чтобы само не зная  запустить разрушительную силу в действие, ведь зло коснется в первую очередь тех, кто его направил, а не тех для кого оно было адресовано. В 7-й Лунный день постарайтесь избегать не нужной болтливости, сплетень, разговоров осуждающих других. Сегодняшний день можно смело назвать провокационным, вас будут склонять к осуждению других, болтливости. Энергия этого Лунного дня огромна и нужно постараться ее использовать для своих  поставленных целей. Направьте всю свою деятельность на осуществление своих планов, и не забывайте, что слова в эти лунные сутки приобретают глубокую магическую силу. Также нужно осознавать что ложь сегодня имеет огромную разрушительную силу, и независимо как она была произнесена, вернется к вам бумерангом. Если вы не можете сказать правду, то лучше просто промолчите.
#RELATION
В этот день нужно остерегаться конфликтов или гневных речей со своим избранником или избранницей. Если вы одиноки, то в этот день стоит помечтать о своей второй половинке.
#HOME
Ремонт и строительство, а также большие дела по дому лучше не начинать, а  закончить лучше начатые.
#HEALTH
Этот день категорически не подходит для визита к стоматологу и лечения зубов. В 7-й Лунный день уязвимы бронхи, голосовые связки, легкие. Рекомендуется соблюдать диету из легких продуктов.
#BUSINESS
Бизнес и деньги Это хороший день для занятия бизнесом для реализации своих намеченных планов. Сегодня хороший день для поиска спонсоров. В финансовом плане день считается нейтральным.
#MYSTIC
Мистическое влияние в 7-й Лунный день Это период усвоения и поглощения космической энергии. Передача мыслей, пророчества, занятия пранаямой.","#MAIN
7 лунный день. Провокационный день. Возможно, вас будут провоцировать на повышенную болтливость, на то, чтобы вы произнесли какие-то необдуманные слова."
8,8,-,"Ларец с сокровищами, Павлин, Пожар","#MAIN
В магии такой день называют временем алхимии, химических трансформаций, очищения огнем. В 8-й Лунный день начинается период перехода Лунного цикла во вторую фазу. Это довольно сложный день,  не стоит себя  перегружать физически и эмоционально. Сегодня будет хорошо провести покаяние, попросить прощения, сходить в церковь. Вообще этот день можно считать одним из лучших дней в плане покаяния и духовного развития, поэтому идеальным будет сосредоточится на внутреннем духовном развитии, попросить прощения у бога, поставить свечку. Хорошо в восьмой Лунный день иметь контакт с огнем.  Зажгите свечу или камин и  представьте как в его пламени начинают сгорать все ваши обиды и все что гложет и мучает вашу душу. Нужно освободить себя для поступления новой и чистой энергии. Если хорошо сконцентрироваться  или сосредоточится на пламени огня,  то  можно получить великое откровение. Также в этот день очень эффективными будут любые ритуалы очищения огнем. В этот день очень полезно голодание, оно способно не только физически очистить организм но и духовно. В 8-е Лунный сутки  хорошо переезжать на новое место жительства, покупать дом или квартиру. Сны, приснившиеся в 8-й Лунный день несут полезную информацию, и подсказки для нерешенных проблем.  Если вы живете по лунному календарю, то в этот день, вы должны  заметить первые изменения и перемены в своей жизни.
#RELATION
8-й Лунный день принято считать благоприятным для свиданий, но не забудьте что сегодня день прощения. Люди сегодня склонны к откровениям, и если у вас первое свидание, случайно не расскажите чего лишнего.
#HOME
Сегодня лучше  выполнять только мелкие незначительные домашние дела. Хорошо заняться любимым хобби. #HEALTH
Эти лунные сутки считаются тяжелыми для организма человека, потому как  происходит перестройка энергетического поля, которая требует довольно больших внутренних затрат. Так же в 8-й Лунный день многие подвержены к нервным расстройствам, а это может серьезна сказаться на здоровье всего организма. Очень эффективны сегодня голодания. Посещения бани, сауны не рекомендуется.
#BUSINESS
Сегодня лучше решать только мелкие финансовые вопросы, от крупных воздержатся. На работе возможны конфликтные и чрезвычайные ситуации.  День очень хорош для командировок и деловых поездок.","#MAIN
8 лунный день. Хорошо бы честно признаться себе в своих грехах. День очень хорош для освобождения от грехов — каяться будет легко, легко будет и прощать грехи другим людям."
9,9,-,"Млечный путь, Летучая мышь ","#MAIN
Этот день называют днем кармических испытаний. Девятые Лунные сутки несут довольно тяжелую энергетику, а потому сегодня будет очень уместно носить с собой свой талисман, оберег и тд., вещь которая бы сглаживала негативные последствия. Верующие люди  в такой день могут и не почувствовать ни каких негативных влияний на себя, но вот влияние темной энергии на общую окружающую обстановку они обязательно увидят и почувствуют. Не помешает в такой день провести энергетическую чистку своего жилища, потому как бывает что приходят к нам разные люди и некоторые несут в себе негативную черную энергетику, которая имеет свойство накапливаться в углах и чуланах нашего дома. Бывает что и мы сами вносим вклад этой не хорошей энергии, своим плохим настроением, бытовыми ссорами. Но несмотря на то что день кажется ужасным и страшным, вы должны оптимистически смотреть на жизнь и не ждать каких то неприятностей и тогда они обязательно пройдут мимо, а день пройдет весело и счастливо.
#RELATION
Это не самый удачный день для романтических отношений и свиданий, сегодня велика вероятность возникновения разных конфликтов со своей избранницей или избранником. Поэтому свидание лучше перенести на другой день. Так же этот день совершенно не подходит для бракосочетаний.
#HOME
9-й Лунный день хорошо подходит, для работы в огороде или саду, ухаживаниями за животными и растениями, но чтобы это не требовало тяжелых физических нагрузок. От тяжелых бытовых работ по дому лучше отказаться.
#HEALTH
В 9-е Лунные сутки очень опасна нагрузка на сосуды и сердце, поэтому нужно исключить любую тяжелую работу. Этот день отлично подходит для посещения парной или бани, но главное не переусердствовать, помните про сердце, также полезно проводить разные очистительные процедуры.
#BUSINESS
Сегодня нужно быть на чеку, даже верные партнеры запросто могут неприятно удивить, все финансовые вопросы лучше перенести на другой день, очень большая вероятность стать жертвой обмана. Не рекомендуется в такой день слушать разных советчиков. Сегодняшний день очень хорошо подходит для людей творческих профессий, они запросто могут найти вдохновения в своих делах.
","#MAIN
9 лунный день. Сатанинский день. Энергетика этих лунных суток крайне отрицательно влияет на человека."
10,10,-,"Источник, Фонтан","#MAIN
Символом 10-го лунного дня является фонтан, он символизирует неиссякаемый чистый источник энергии, воодушевления и мудрости, поэтому день сегодня поистине можно считать очень чистым, добрым и продуктивным, также это день семьи и рода. Будет хорошо посвятить этот день своим родственникам и семье, повспоминать своих предком, детство и поразмышлять на тему своего генеалогического дерева. Астрологи считают что 10-й Лунный день, является днем небесных подарков, сегодня как по волшебству легко все удается, например случайно купленный лотерейный билет может оказаться выигрышным, либо вы можете оказаться на распродаже, и купить то о чем долгое время мечтали, по не высокой цене. Люди с низкой энергетикой могут восполнить её попив воды из природных ключей, разного рода источников. Чистая вода сегодня, имеет особую энергетику. Воду можно заговаривать, чтобы поправить свое здоровье.
#RELATION
Этот день очень хорошо подходит для свиданий, романтических отношений. Отношения с противоположным полом, принесут радость и крепкие связи. Лучший вариант сегодня это отправится на природу к чистому источнику воды. Ни в коем случае не просиживайте такой день дома на диване возле телевизора. Очень хороший день для заключения браков, они будут крепкими и счастливыми и в будущем будут иметь большое генеалогическое дерево.
#HOME
Сегодня хороший день чтобы начать строительство нового дома, теплицы или бани, также хорошо начинать ремонт в доме или квартире.  В бытовых делах будет все хорошо удаваться.
#HEALTH
Сегодня не рекомендуется проводить день пассивно. Уязвимы ребра,  грудные позвонки и локтевые суставы. Отличный день для посещения бани и парной, рекомендуется пить как можно больше жидкости. Вода сегодня имеет особую целительную силу.
#BUSINESS
В 10-й Лунный день очень хорошо подходит для решения любых производственных задач, на работе царит дружелюбная обстановка. Сегодня запросто можно выполнить недельную норму. В финансовых вопросах также все будет удаваться, очень хороший день для подписания важных финансовых документов.","#MAIN
10 лунный день. День отдыха, но отдыха активного. Течение энергии жизни в человеческом организме усиливается, силы могут начать бить фонтаном.
"
